code;name;side;city;type;x;y
028_A;"028_ул 10 лет Октября, 60/1, автотехцентр ""Кит""";А;Ижевск;Билборд;56.870405;53.262282
028_B;"028_ул 10 лет Октября, 60/1, автотехцентр ""Кит""";Б;Ижевск;Билборд;56.870405;53.262282
029_A;"029_ул 40 лет Победы, 110, напротив гипермаркета ""Ашан""";А;Ижевск;Билборд;56.846581;53.280345
029_B;"029_ул 40 лет Победы, 110, напротив гипермаркета ""Ашан""";Б;Ижевск;Билборд;56.846581;53.280345
030_A;030_ул Новоажимова (съезд с моста);А;Ижевск;Билборд;56.832358;53.191664
030_B;030_ул Новоажимова (съезд с моста);Б;Ижевск;Билборд;56.832358;53.191664
031_A;031_ул Азина, 1а;А;Ижевск;Билборд;56.825954;53.184963
031_B;031_ул Азина, 1а;Б;Ижевск;Билборд;56.825954;53.184963
032_A;032_ул Маяковского, 42а/ Магистральная, призматрон;А1, А2, А3;Ижевск;Призматрон;56.813168;53.20434
033_A;"033_ул Автозаводская, 2, напротив ТРК ""Столица"", призматрон";А1, А2, А3;Ижевск;Призматрон;56.872013;53.278669
033_B;"033_ул Автозаводская, 2, напротив ТРК ""Столица""";Б;Ижевск;Билборд;56.872013;53.278669
034_A1;034_ул Новоажимова, 13 / 8-я улица;А1;Ижевск;Билборд;56.83131;53.172603
034_A2;034_ул Новоажимова, 13 / 8-я улица;А2;Ижевск;Билборд;56.83131;53.172603
034_AA;034_ул Новоажимова, 13 / 8-я улица, цифровой билборд;АА;Ижевск;Цифровой билборд;56.83131;53.172603
035_A1;035_ул 10 лет Октября, 77 (АЗС «Газпром»);А1;Ижевск;Билборд;56.871927;53.242118
035_A2;035_ул 10 лет Октября, 77 (АЗС «Газпром»);А2;Ижевск;Билборд;56.871927;53.242118
036_A1;036_автокольцо ул. Ленина/Союзная, 3;А1;Ижевск;Билборд;56.843425;53.301192
036_A2;036_автокольцо ул. Ленина/Союзная, 3;А2;Ижевск;Билборд;56.843425;53.301192
037_A;037_ул К. Маркса напротив д.13А ;А;Ижевск;Билборд;56.822103;53.208274
037_B;037_ул К. Маркса напротив д.13А ;Б;Ижевск;Билборд;56.822103;53.208274
038_A;038_ул 50 лет ВЛКСМ, 19;А;Ижевск;Билборд;56.876689;53.195869
038_B;038_ул 50 лет ВЛКСМ, 19;Б;Ижевск;Билборд;56.876689;53.195869
039_A;039_ул 50 лет ВЛКСМ, напротив К. Маркса, 455 (ЖК «Вега»);А;Ижевск;Билборд;56.876871;53.199896
039_B;039_ул 50 лет ВЛКСМ, напротив К. Маркса, 455 (ЖК «Вега»);Б;Ижевск;Билборд;56.876871;53.199896
040_A;040_ул Чугуевского, напротив Удмуртская, 147;А;Ижевск;Билборд;56.83289;53.221469
040_B;040_ул Чугуевского, напротив Удмуртская, 147;Б;Ижевск;Билборд;56.83289;53.221469
